Precision,Recall,F1_Score,F0.5_Score,F2_Score,Accuracy,Balanced_Accuracy,Specificity,MCC,TP_FP_Ratio,Edge_Count_Accuracy,Method,Dataset,TP,FP,FN,Predicted,Ground_Truth
0.6666666666666666,1.0,0.8,0.7142857142857142,0.9090909090909091,0.85,0.8928571428571428,0.7857142857142857,0.723746864455746,2.0,0.5,CCM-ECCM,dataset1_baseline,6,3,0,9,6
0.6666666666666666,1.0,0.8,0.7142857142857142,0.9090909090909091,0.85,0.8928571428571428,0.7857142857142857,0.723746864455746,2.0,0.5,CCM-ECCM,dataset2_more_noise,6,3,0,9,6
0.6363636363636364,0.7777777777777778,0.7000000000000001,0.6603773584905661,0.7446808510638299,0.8,0.7936507936507937,0.8095238095238095,0.5584945425171289,1.75,0.7777777777777778,CCM-ECCM,dataset3_add_x0,7,4,2,11,9
0.8333333333333334,0.7142857142857143,0.7692307692307692,0.8064516129032258,0.7352941176470589,0.9,0.8354037267080745,0.9565217391304348,0.7092993656151906,5.0,0.8571428571428572,CCM-ECCM,dataset4_add_x4a,5,1,2,6,7
0.5454545454545454,1.0,0.7058823529411764,0.6,0.8571428571428571,0.75,0.8214285714285714,0.6428571428571429,0.5921565254637922,1.2,0.16666666666666663,Granger,dataset1_baseline,6,5,0,11,6
0.6666666666666666,1.0,0.8,0.7142857142857142,0.9090909090909091,0.85,0.8928571428571428,0.7857142857142857,0.723746864455746,2.0,0.5,Granger,dataset2_more_noise,6,3,0,9,6
0.9,1.0,0.9473684210526316,0.9183673469387754,0.9782608695652175,0.9666666666666667,0.9761904761904762,0.9523809523809523,0.9258200997725514,9.0,0.8888888888888888,Granger,dataset3_add_x0,9,1,0,10,9
0.7777777777777778,1.0,0.8750000000000001,0.813953488372093,0.945945945945946,0.9333333333333333,0.9565217391304348,0.9130434782608695,0.8427009716003844,3.5,0.7142857142857143,Granger,dataset4_add_x4a,7,2,0,9,7
0.42857142857142855,1.0,0.6,0.48387096774193544,0.7894736842105262,0.6,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.75,-0.33333333333333326,TE,dataset1_baseline,6,8,0,14,6
0.5,1.0,0.6666666666666666,0.5555555555555556,0.8333333333333334,0.7,0.7857142857142857,0.5714285714285714,0.5345224838248488,1.0,0.0,TE,dataset2_more_noise,6,6,0,12,6
0.42857142857142855,1.0,0.6,0.48387096774193544,0.7894736842105262,0.6,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.75,-0.33333333333333326,TE,dataset3_add_x0,9,12,0,21,9
0.35,1.0,0.5185185185185185,0.40229885057471265,0.7291666666666667,0.5666666666666667,0.717391304347826,0.43478260869565216,0.39009474880274697,0.5384615384615384,-0.8571428571428572,TE,dataset4_add_x4a,7,13,0,20,7
0.8571428571428571,1.0,0.923076923076923,0.8823529411764707,0.9677419354838709,0.95,0.9642857142857143,0.9285714285714286,0.8921425711997711,6.0,0.8333333333333334,PC,dataset1_baseline,6,1,0,7,6
0.6666666666666666,1.0,0.8,0.7142857142857142,0.9090909090909091,0.85,0.8928571428571428,0.7857142857142857,0.723746864455746,2.0,0.5,PC,dataset2_more_noise,6,3,0,9,6
0.75,1.0,0.8571428571428571,0.7894736842105263,0.9375,0.9,0.9285714285714286,0.8571428571428571,0.8017837257372731,3.0,0.6666666666666667,PC,dataset3_add_x0,9,3,0,12,9
0.5384615384615384,1.0,0.7000000000000001,0.5932203389830508,0.8536585365853658,0.8,0.8695652173913043,0.7391304347826086,0.6308671104414854,1.1666666666666667,0.1428571428571429,PC,dataset4_add_x4a,7,6,0,13,7
